Rb.;"Naziv tijela";OIB;Adresa;"Br. pošte";Grad;Telefon;Fax;Www;E-mail;"Ime i prezime službenika";"Tel. službenika";"E-mail. službenika";Osnivač;"Pravni status";Djelatnost;"Zadnja izmjena"
5175;"Ustanova za razvoj kompetencija, inovacija i specijalizacije Zadarske županije INOVAcija";45327324102;"Trg 3 bunara, 5";23000;Zadar;"(+385 23) 251 150";"(+385 23) 340 229";www.inovacija-zadar.hr;info@inovacija-zadar.hr;"Iris Žuža";"(+385 23) 627 890";iris.zuza@inovacija-zadar.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;Gospodarstvo;"2022-02-23 12:38:59"
5176;"Ustanova za sveobuhvatnu skrb o pripadnicima 1. gardijske brigade Tigrovi i Jedinice za posebne namjene MUP-a RH Rakitje";50296913346;"Stari Hrast 55, Rakitje";10431;"Sveta Nedelja";"(+385 99) 3295 946";;www.ustanova-tigrovi.hr;ured@ustanova-tigrovi.hr;"Lidija Modrušan";"(+385 99) 3295 945";socijalnaskrb@ustanova-tigrovi.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Socijalna zaštita";"2022-02-07 10:39:03"
5177;"Ustanova za upravljanje sportskim objektima Sportski objekti Samobor";20989827878;"Andrije Hebranga 26/A";10430;Samobor;"(+385 1) 3378 901";"(+385 1) 3378 900";www.samobor.hr/sportski-objekti;maja.biondic@samobor.hr;"Maja Biondić";"(+385 1) 3378 903";maja.biondic@samobor.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2020-01-27 14:19:48"
5178;"Ustanova za upravljanje, korištenje i održavanje športskih objekata Umag";11295759425;"Savudrijska ulica 15";52470;Umag;"(+385 99) 620 003";;;sport@umag.hr;"Mladen Zorić";"(+385 99) 6200 030";sport@umag.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2019-02-08 12:46:35"
5179;"Ustanova za zapošljavanje, rad i profesionalnu rehabilitaciju osoba s invaliditetom DES";23754648622;"114. Brigade 14";21000;Split;"(+385 21) 430 555";"(+385 21) 367 922";www.des.hr;info@des.hr;"Sanja Gluić";"(+385 21) 430 519";sanja.gluic@des.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Zapošljavanje, rad i radni odnosi";"2019-05-29 13:39:35"
5180;"Ustanova za zdravstvenu njegu Ćorluka";84474284756;"Mesnička 32";10000;Zagreb;"(+385 1) 4851 422";;www.sanatorij.com;corluka@corluka.hr;"Spomenka Knežević";"(+385 1) 5551 766";spomenka@sanatorij.com;"Fizička ili privatna pravna osoba";Ustanove;Zdravstvo;"2016-02-01 10:34:24"
5181;"Ustanova za zdravstvenu njegu u kući Karlovac";82576314825;"Dr. Vladka Mačeka 48";47000;Karlovac;"(+385 47) 411 279";"(+385 47) 411 271";www.ustanovazanjegu-ka.hr;info@ustanovazanjegu-ka.hr;"Hildebranda Kostolanji";"(+385 47) 411 279";info@ustanovazanjegu-ka.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;Zdravstvo;"2022-01-12 08:22:59"
5182;"Ustanova za zdravstvenu njegu u kući Zagreb";64192076379;"Preradovićeva 17/I";10000;Zagreb;"(+385 1) 4872 257";"(+385 1) 4872 265";www.zdravstvena-njega.hr;info@zdravstvena-njega.hr;"Bruno Nikolaš";"(+385 1) 4841 040";bruno.nikolas@zdravstvena-njega.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;Zdravstvo;"2017-01-25 09:12:29"
5183;"Ustanova Zagreb film";82390971460;"Vlaška 70";10000;Zagreb;"(+385 1) 4613 689";"(+385 1) 4557 068";www.zagrebfilm.hr;zagrebfilm@zagrebfilm.hr;"Sanja Borčić Toth";"(+385 91) 4557 066";sanja.borcic@zagrebfilm.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-10-10 12:57:59"
5184;"Ustanova Zlatne godine Žrnovnica";61503082126;"Krešimirova 69";21251;Žrnovnica;"(+385 21) 459 586";;www.dom-zlatnegodine.hr;zlatne.godine@optinet.hr;"Petra Dragičević";"(+385 21) 459 585";zlatne.godine@optinet.hr;"Fizička ili privatna pravna osoba";Ustanove;"Socijalna zaštita";"2019-02-05 11:34:03"
5185;"Ustanova Zoološki Vrt Grada Zagreba";69262261098;"Maksimirski perivoj b.b.";10000;Zagreb;"(+385 1) 2302 198";"(+385 1) 2302 199";www.zoo.hr;info@zoo.hr;"Tomislav Krizmanić";"(+385 1) 2302 198";tomislav@zoo.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2020-01-31 13:48:22"
5186;"Ustavni sud Republike Hrvatske";43530726662;"Trg sv. Marka 4";10000;Zagreb;"(+385 1) 6400 200";"(+385 1) 6400 001";www.usud.hr;ustavni_sud@usud.hr;"Melita Poslek";"(+385 1) 6400 203";melita_poslek@usud.hr;"Republika Hrvatska";"Državna tijela";"Javna uprava i politički sustav";"2018-01-12 10:39:42"
5187;"V. gimnazija Vladimir Nazor Split";73243108796;"Zagrebačka 2";21000;Split;"(+385 21) 344 922";"(+385 21) 315 250";www.petagimnazijast.hr;vnazor@petagimnazijast.hr;"Mirela Odrljin";"(+385 21) 344 922";mirela.odrljin@skole.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2018-01-23 11:34:07"
5188;"V. gimnazija Zagreb";82578349629;"Klaićeva 1";10000;Zagreb;"(+385 1) 4828 070";"(+385 1) 4838 127";www.petagimnazija.hr;tajnistvo@petagimnazija.hr;"Kristina Bilogrević";"(+385 1) 4828 070";tajnistvo@petagimnazija.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2022-02-07 13:36:30"
5189;"V. osnovna škola Bjelovar";83946659706;"Šetalište dr. Ivše Lebovića 1";43000;Bjelovar;"(+385 43) 242 645";"(+385 43) 247 323";www.os-peta-bj.skole.hr;skola@os-peta-bj.skole.hr;"Jelena Kosanović Fridl";"(+385 43) 242 645";jelena.kosanovic2@skole.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2021-01-12 11:02:42"
5190;"V. osnovna škola Varaždin";92948647703;"Vatrogasna ulica 5";42000;Varaždin;"(+385 42) 230 424";"(+385 42) 230 424";www.os-peta-vz.skole.hr;peta@os-peta-vz.skole.hr;"Dunja Vojnović";"(+385 42) 230 424";dunja.canjuga@skole.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2021-01-25 08:26:51"
5191;"Valbruna sport d.o.o.";87214487155;"Trg Maršala Tita 3/III";52210;Rovinj;"(+385 52) 635 636";"(+385 52) 830 352; (+385 52) 840 280";www.rovinjsport.com;valbrunasport@pu.htnet.hr;"Elvis Poljak";"(+385 52) 635 636";valbrunasport.rovinj@pu.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Odgoj, obrazovanje, znanost i sport";"2022-01-10 12:49:45"
5192;"Valpovački poduzetnički centar d.o.o. za promicanje i razvitak poduzetništva";94485284888;"Matije Gupca 32";31550;Valpovo;"(+385 31) 656 218";"(+385 31) 651 408";www.vpc.valpovo.hr;vpckontakt@gmail.com;"Igor Tonković";"(+385 31) 285 339";vpckontakt@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Regionalni razvoj";"2018-02-05 11:32:13"
5193;"Varaždinska agencija za marketing i promidžbu d.o.o.";22052350039;"Stanka Vraza 4";42000;Varaždin;"(+385 42) 214 403";"(+385 42) 214 459";www.vamp.com.hr;info@vamp.com.hr;"Laura Musliu";"(+385 98) 430 183";laura.musliu@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";"Trgovačka društva";Gospodarstvo;"2022-04-22 12:27:49"
5194;"Varaždinska županija";15877210917;"Franjevački trg 7";42000;Varaždin;"(+385 42) 390 500";"(+385 42) 211 387";www.varazdinska-zupanija.hr;pisarnica@vzz.hr;"Renata Skoko";"(+385 42) 390 554";"ppi@vzz.hr; renata.skoko@vzz.hr";"Republika Hrvatska";"Jedinica lokalne ili područne (regionalne) samouprave";"Javna uprava i politički sustav";"2018-02-26 13:22:32"
5195;"VARKOM d.d.";39048902955;"Trg bana Jelačića 15";42000;Varaždin;"(+385 42) 406 406";"(+385 42) 212 115";www.varkom.com;info@varkom.com;"Andrija Bedenik";"(+385 42) 406 409";abedenik@varkom.com;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2017-12-21 14:56:12"
5196;"Varogasna zajednica Grada Popovača";14599378039;"Trg Grofova Erdödyja 9";44317;Popovača;"(+385 44) 679 399";"(+385 44) 679 399";;vzopopovaca@gmail.com;"Zvonimir Kondres";"(+385 98) 553 505";zkondres@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Udruge;"Javni red i sigurnost";"2020-02-10 13:46:17"
5197;"Vartop d.o.o. za održavanje, upravljanje i toplinarstvo";91016122289;"Stanka Vraza 6";42000;Varaždin;"(+385 42) 421 055";;www.vartop.hr;vartop@vartop.hr;"Ivana Novko";"(+385 42) 421 055";ivana.novko@vartop.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";
5198;"Vatrogasna postrojba Grada Biograda na Moru";37042135183;"Splitska 58";23210;"Biograd na Moru";"(+385 23) 383 161";"(+385 23) 383 816";;jvpbiograd@gmail.com;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2018-01-05 11:21:25"
5199;"Vatrogasna postrojba Grada Ivanić-Grada";92203261916;"Omladinska 30";10310;Ivanić-Grad;"(+385 1) 2881 424";"(+385 1) 2881 424";www.vpig.hr;vpivanic@inet.hr;"Igor Cepetić";"(+385 1) 2889 001";uredzapovjednika.vpivanic@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2021-01-29 13:27:06"
5200;"Vatrogasna postrojba Kutina";22190219862;"Kneza Ljudevita Posavskog 27";44320;Kutina;"(+385 44) 660 420";"(+385 44) 660 429";www.vatrogasci-kutina.hr;tajnistvo@vatrogasci-kutina.hr;"Danijel Lipšanski";"(+385 44) 660 420";tajnistvo@vatrogasci-kutina.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2017-01-26 12:14:53"
5201;"Vatrogasna zajednica Baranja";98058799309;"Vladana Desnice 2";31300;"Beli Manastir";"(+385 31) 700 593";"(+385 31) 700 593";www.vzbaranja.hr;vzbaranja@gmail.com;"Renata Čete";"(+385 91) 6131 450";vzbaranja@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:30:04"
5202;"Vatrogasna zajednica Bjelovarsko-bilogorske županije";98050856762;"Otona Kučere 1";43000;Bjelovar;"(+385 43) 217 111";"(+385 43) 217 111";www.vzbbz.hr;vatrogasna.zajednica@bbz.hr;"Đuro Petrić";"(+385 43) 217 111";vatrogasna.zajednica@bbz.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:41:12"
5203;"Vatrogasna zajednica Brodsko-posavske županije";97435375511;"Trg sv. Trojstva 3";35000;"Slavonski Brod";"(+385 35) 444 454";"(+385 35) 444 454";;vzbpzsb@gmail.com;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:41:08"
5204;"Vatrogasna zajednica Daruvar";15218292751;"Trg križnog puta 1";43500;Daruvar;"(+385 43) 331 462";"(+385 43) 331 462";www.vatrogasci-daruvar.hr;vatrogasci@bj.t-com.hr;"Vlado Horvat";"(+385 43) 331 462";vatrogasci@bj.t-com.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:51"
5205;"Vatrogasna zajednica Donji Miholjac";98437090462;"Đure Basaričeka 4";31540;"Donji Miholjac";"(+385 31) 631 193";"(+385 31) 631 193";;dvddm@email.htnet.hr;"Ivica Bučanac Habuda";"(+385 99) 2085 313";bucanacivica@yahoo.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:41:04"
5206;"Vatrogasna zajednica Dubrovačko-neretvanske županije";43050788167;"Vukovarska 17";20000;Dubrovnik;"(+385 20) 412 535; (+385 20) 416 955";"(+385 20) 311 700";;vatrogasna-zajednica@du.htnet.hr;"Sandra Kristović";"(+385 91) 3093 093";skristovic1@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:25"
5207;"Vatrogasna zajednica Đakovštine";69813381476;"Splitska 21";31400;Đakovo;;;;vatrogasnazajednicadakovstine@gmail.com;"Antun Kovač";"(+385 99) 3807 921";tunaqy@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:20"
5208;"Vatrogasna zajednica Grada Bakra";92484953986;"Palada 28";51222;Bakar;"(+385 51) 271 706";"(+385 51) 271 706";;darpape@yahoo.com;"Darko Pavletić";"(+385 91) 1276 603";darpape@yahoo.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 10:50:36"
5209;"Vatrogasna zajednica Grada Belišće";84547636776;"Željeznička 11";31551;Belišće;"(+385 31) 663 035";"(+385 31) 663 035";www.vzgb.hr;vzgbelisce@os.ht.hr;"Dubravko Čovčić";"(+385 99) 3190 355";vzgbelisce@os.htnet.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:10"
5210;"Vatrogasna zajednica Grada Bjelovara";58667773073;"Otona Kučere 1";43000;Bjelovar;"(+385 43) 217 120";"(+385 43) 217 120";www.vatrogasci-bjelovar.com;vzg-bjelovara@bj.t-com.hr;"Darko Despot";"(+385 99) 732 2810";vzg-bjelovara@bj.t-com.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:05"
5211;"Vatrogasna zajednica Grada Čabra";94193607676;"Narodnog oslobođenja 2";51306;Čabar;"(+385 51) 821 042";"(+385 51) 821 137";www.cabar.hr;zoran.ozbolt@gmail.com;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:00"
5212;"Vatrogasna zajednica Grada Čazme";87222390221;"Milana Novačića 13";43240;Čazma;"(+385 43) 227 427";"(+385 43) 227 427";;vzgcazma@gmail.com;"Ivana Žugaj";"(+385 99) 2044 777";vzgcazma@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:56"
5213;"Vatrogasna zajednica Grada Dubrovnika";79007966426;"Zagrebačka 1";20000;Dubrovnik;"(+385 91) 1904 904";"(+385 20) 416 476";www.dubrovacki-vatrogasci.hr;zapovjednik@dubrovacki-vatrogasci.hr;"Stjepko Krilanović";"(+385 91) 1904 904";zapovjednik@dubrovacki-vatrogasci.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:47"
5214;"Vatrogasna zajednica Grada Duga Resa";33267186738;"Josefa Jeruzalema 1";47250;"Duga Resa";"(+385 47) 811 071";"(+385 47) 811 071";;vzg.duga-resa@193.vzkz.hr;"Davor Kekić";"(+385 91) 4793 160";vzg.duga-resa@193.vzkz.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:41"
5215;"Vatrogasna zajednica Grada Dugo Selo";36195587413;"Osječka 2";10370;"Dugo Selo";"(+385 1) 2753 093";"(+385 1) 2753 093";;ivica.klaric2@zg.t-com.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:35"
5216;"Vatrogasna zajednica Grada Đakova";12895924245;"Splitska 21";31400;Đakovo;"(+385 31) 813 261";"(+385 31) 811 061";;zapovjednik.vzgdj@gmail.com;"Zrinka Paradžik";"(+385 91) 2608 225";zrinka002@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:29"
5217;"Vatrogasna zajednica Grada Đurđevac";62998478674;"Ulica Grada Vukovara 63";48350;Đurđevac;"(+385 48) 812 210";"(+385 48) 812 210";;zeljko.tuberlija@kc.t-com.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:24"
5218;"Vatrogasna zajednica Grada Garešnica";62988859447;"Matije Gupca 136";43280;Garešnica;"(+385 43) 531 181";"(+385 43) 531 181";www.vzg-garesnica.hr;vzg.garesnica@gmail.com;"Tomislav Kunješić";"(+385 43) 531 181";tkunjesic.vst@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:19"
5219;"Vatrogasna zajednica Grada Glina";24294776457;"Frankopanska 22";44400;Glina;"(+385 44) 882 213";"(+385 44) 882 213";;komunalni.redar@grad-glina.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:14"
5220;"Vatrogasna zajednica Grada Grubišno Polje";48340791561;"Braće Radić 4";43290;"Grubišno Polje";"(+385 43) 485 118";"(+385 43) 485 118";;vatrogasna.zajednica.servis@bj.t-com.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:08"
5221;"Vatrogasna zajednica Grada Ivanca";47318471517;"Vladimira Nazora 8";42240;Ivanec;"(+385 42) 783 333";"(+385 42) 494 171";www.vzg-ivanec.hr;vzg.ivanec@gmail.com;"Davor Đuras";"(+385 98) 518 807";;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:42:03"
5222;"Vatrogasna zajednica Grada Ivanić Grad";14199245651;"Omladinska ulica 30";10310;Ivanić-Grad;"(+385 1) 2881 419";"(+385 1) 2881 419";;vzg.ivanic.grad@zg.t-com.hr;"Igor Cepetić";"(+385 91) 5353 521";vzg.ivanic.grad@zg.t-com.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:41:58"
5223;"Vatrogasna zajednica Grada Jastrebarsko";35180577711;"Vladka Mačeka 2";10450;Jastrebarsko;"(+385 1) 6281 501";"(+385 1) 6272 806";;vzg-jaska@zg.t-com.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:41:54"
5224;"Vatrogasna zajednica Grada Karlovca";34817955353;"Gažanski trg 11";47000;Karlovac;"(+385 47) 613 399";"(+385 47) 614 021";www.vzkz.hr;vzg.karlovac@193.vzkz.hr;"Branko Gudasić";"(+385 47) 613 399";vzg.karlovac@193.vzkz.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:41:49"
5225;"Vatrogasna zajednica Grada Kaštela";50318110809;"Putaljski put 58";21212;"Kaštel Sućurac";"(+385 21) 224 990";"(+385 21) 224 990";www.vzg-kastela.hr;vzgkastela@gmail.com;"Ivan Barić";"(+385 21) 224 990";vzgkastela@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:46:11"
5226;"Vatrogasna zajednica Grada Klanjca";54424480492;"Lijepe naše 21";49290;Klanjec;;;;;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:46:06"
5227;"Vatrogasna zajednica Grada Koprivnice";81503906546;"Oružanska 1";48000;Koprivnica;"(+385 48) 642 536";;www.vatrogasac.net;vzgkoprivnica@gmail.com;"Ines Štefanić";"(+385 48) 642 536";tajnik.vzgkoprivnica@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:55"
5228;"Vatrogasna zajednica Grada Križevaca";28736047213;"Franje Račkog 18";48260;Križevci;"(+385 91) 2708 957";"(+385 48) 674 609";;ivan.matosovic@optinet.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:51"
5229;"Vatrogasna zajednica Grada Kutina";54942139353;"Kneza Ljudevita Posavskog 27";44320;Kutina;"(+385 44) 680 868";"(+385 44) 680 868";www.vzg.kutina.hr;vzg.kutina@gmail.com;"Klaudia Brozović";"(+385 44) 680 868";k.lilovac@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:46"
5230;"Vatrogasna zajednica Grada Lepoglava";16030892197;"Hrvatskih pavlina 30";42250;Lepoglava;"(+385 42) 792 499";"(+385 42) 792 499";;vzglepoglava@gmail.com;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:41"
5231;"Vatrogasna zajednica Grada Ludbrega";98173194771;"Koprivnička 17";42230;Ludbreg;"(+385 42) 819 093";"(+385 42) 819 093";;ludbreg.dvd@gmail.com;"Jurica Havaić";"(+385 91) 3408 534";jhavaic85@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:36"
5232;"Vatrogasna zajednica Grada Nova Gradiška";89090069709;"Maksimilijana Benkovića 11";35400;"Nova Gradiška";"(+385 35) 363 199";"(+385 35) 363 199";;vzg.nova.gradiska@gmail.com;"Tomislav Orlovac";"(+385 91) 2624 609";vzg.nova.gradiska@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:31"
5233;"Vatrogasna zajednica Grada Novalje";96305897987;"Zeleni put b.b.";53291;Novalja;"(+385 53) 661 111";"(+385 53) 661 111";;zeljko.tamarut@gmail.com;"Katica Fišter";"(+385 95) 5698 013";katicafister@net.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:26"
5234;"Vatrogasna zajednica Grada Novog Marofa";93361620093;"Vatrogasna 3";42220;"Novi Marof";"(+385 42) 611 100";"(+385 42) 611 100";www.vzg-novi-marof.hr;vatrogasna.zajednica@vz.t-com.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:21"
5235;"Vatrogasna zajednica Grada Novska";45338444823;"Osječka 20";44330;Novska;"(+385 44) 600 242";"(+385 44) 601 992";www.vzg.novska;vzg.novska@gmail.com;"Sanja Bilandžija";"(+385 91) 448 0219";sanja.bilandija@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:16"
5236;"Vatrogasna zajednica Grada Omiša";85909788056;"Četvrt Žarka Dražojevića 8";21310;Omiš;"(+385 21) 862 050";"(+385 21) 862 003";www.vzg-omisa.hr;vzg-omisa@email.t-com.hr;"Ivan Kovo";"(+385 21) 862 050";vzg-omisa@email.t-com.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:11"
5237;"Vatrogasna zajednica Grada Orahovica";20617629980;"Kralja Zvonimira 31";33515;Orahovica;;;;vz-orahovica@vt.t-com.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:45:04"
5238;"Vatrogasna zajednica Grada Otočca";43436069685;"Ćirila i Metoda 5";53220;Otočac;"(+385 53) 771 322";"(+385 53) 746 292";;vzgotocca@gmail.com;"Davor Matasić";"(+385 99) 4106 055";dvdotocac@email.t-com.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:44:59"
5239;"Vatrogasna zajednica Grada Ozlja";11879630938;"Kurilovac 9a";47280;Ozalj;"(+385 91) 5406 519";;;tajnik.vzgozalj@gmail.com;"Renata Ferenac";"(+385 91) 5406 519";tajnik.vzgozalj@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:57"
5240;"Vatrogasna zajednica Grada Petrinje";67210480467;"Vatrogasna 57";44250;Petrinja;"(+385 44) 815 233";"(+385 44) 815 233";;vzgpetrinja@gmail.com;"Ivan Palaić";"(+385 99) 3150 242";Ivan.palaic.pajo@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:51"
5241;"Vatrogasna zajednica Grada Požege";90566798892;"Industrijska 44";34000;Požega;"(+385 34) 271 941";"(+385 34) 271 941";;zdenkomautner@gmail.com;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:47"
5242;"Vatrogasna zajednica Grada Pregrade";25198382531;"Josipa Karla Tuškana 2";49218;Pregrada;"(+385 49) 377 709";"(+385 49) 377 709";;vatrogasna.zajednica.grada.pre@kr.t-com.hr;"Nikola Pasariček";"(+385 91) 212 6300";vatrogasna.zajednica.grada.pre@kr.t-com.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:42"
5243;"Vatrogasna zajednica Grada Samobora";54848822413;"Savke Dabčević Kučar 6";10430;Samobor;"(+385 1) 3361 693";"(+385 1) 3326 690";www.vzg.samobor.hr;vz.grada.samobora@gmail.com;"Renato Hribar";"(+385 1) 3361 693";vzg.samobor1@zg.ht.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:43:38"
5244;"Vatrogasna zajednica Grada Senja";63705949782;"Stara cesta 23";53270;Senj;"(+385 53) 881 159";"(+385 53) 881 159";;vatrogasna.zajednica.grada.senja@gs.t-com.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:48:57"
5245;"Vatrogasna zajednica Grada Siska";07667967905;"Vatrogasna 1";44000;Sisak;"(+385 44) 540 151";;;;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:48:52"
5246;"Vatrogasna zajednica Grada Slatina";25720441782;"Ante Kovačića 2";33520;Slatina;"(+385 98) 263 598";;;medvedovicdragan@gmail.com;"Dragan Medvedović";"(+385 98) 263 598";medvedovicdragan@gmail.com;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Udruge;"Javni red i sigurnost";"2022-02-18 09:48:48"
